﻿Zaman Damgası,Kaynak (Terminal),Olay Tipi,Detay/Değer,Durum
2025-12-21 04:43:02,CSMS,Bağlantı,Yeni CP Bağlandı,Info
2025-12-21 04:43:04,CSMS,Şarj Başlatma,Transaction ID: 101,Success
2025-12-21 04:43:04,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:43:11,CSMS,Şarj Başlatma,Transaction ID: 102,Success
2025-12-21 04:43:11,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:43:18,CSMS,Şarj Başlatma,Transaction ID: 103,Success
2025-12-21 04:43:18,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:43:25,CSMS,Şarj Başlatma,Transaction ID: 104,Success
2025-12-21 04:43:25,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:43:32,CSMS,Şarj Başlatma,Transaction ID: 105,Success
2025-12-21 04:43:33,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:43:39,CSMS,Şarj Başlatma,Transaction ID: 106,Success
2025-12-21 04:43:40,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:43:46,CSMS,Şarj Başlatma,Transaction ID: 107,Success
2025-12-21 04:43:47,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:43:53,CSMS,Şarj Başlatma,Transaction ID: 108,Success
2025-12-21 04:43:54,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:44:00,CSMS,Şarj Başlatma,Transaction ID: 109,Success
2025-12-21 04:44:01,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:44:07,CSMS,Şarj Başlatma,Transaction ID: 110,Success
2025-12-21 04:44:08,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:44:14,CSMS,Şarj Başlatma,Transaction ID: 111,Success
2025-12-21 04:44:15,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:44:21,CSMS,Şarj Başlatma,Transaction ID: 112,Success
2025-12-21 04:44:22,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:44:28,CSMS,Şarj Başlatma,Transaction ID: 113,Success
2025-12-21 04:44:29,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:44:35,CSMS,Şarj Başlatma,Transaction ID: 114,Success
2025-12-21 04:44:36,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:44:42,CSMS,Şarj Başlatma,Transaction ID: 115,Success
2025-12-21 04:44:42,CSMS,Bağlantı,Yeni CP Bağlandı,Info
2025-12-21 04:44:42,CSMS,GÜVENLİK,Zaman Anomalisi Tespit Edildi!,CRITICAL
2025-12-21 04:44:43,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:44:43,CSMS,Şarj Başlatma,Transaction ID: 101,Success
2025-12-21 04:44:49,CSMS,Şarj Başlatma,Transaction ID: 116,Success
2025-12-21 04:44:50,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:44:50,CSMS,Şarj Başlatma,Transaction ID: 102,Success
2025-12-21 04:44:56,CSMS,Şarj Başlatma,Transaction ID: 117,Success
2025-12-21 04:44:57,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:44:57,CSMS,Şarj Başlatma,Transaction ID: 103,Success
2025-12-21 04:45:03,CSMS,Şarj Başlatma,Transaction ID: 118,Success
2025-12-21 04:45:04,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:45:04,CSMS,Şarj Başlatma,Transaction ID: 104,Success
2025-12-21 04:45:10,CSMS,Şarj Başlatma,Transaction ID: 119,Success
2025-12-21 04:45:11,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:45:11,CSMS,Şarj Başlatma,Transaction ID: 105,Success
2025-12-21 04:45:17,CSMS,Şarj Başlatma,Transaction ID: 120,Success
2025-12-21 04:45:18,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:45:18,CSMS,Şarj Başlatma,Transaction ID: 106,Success
2025-12-21 04:45:24,CSMS,Şarj Başlatma,Transaction ID: 121,Success
2025-12-21 04:45:25,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:45:25,CSMS,Şarj Başlatma,Transaction ID: 107,Success
2025-12-21 04:45:31,CSMS,Şarj Başlatma,Transaction ID: 122,Success
2025-12-21 04:45:32,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:45:32,CSMS,Şarj Başlatma,Transaction ID: 108,Success
2025-12-21 04:45:38,CSMS,Şarj Başlatma,Transaction ID: 123,Success
2025-12-21 04:45:39,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:45:39,CSMS,Şarj Başlatma,Transaction ID: 109,Success
2025-12-21 04:45:45,CSMS,Şarj Başlatma,Transaction ID: 124,Success
2025-12-21 04:45:46,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:45:46,CSMS,Şarj Başlatma,Transaction ID: 110,Success
2025-12-21 04:45:52,CSMS,Şarj Başlatma,Transaction ID: 125,Success
2025-12-21 04:45:53,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:45:53,CSMS,Şarj Başlatma,Transaction ID: 111,Success
2025-12-21 04:45:59,CSMS,Şarj Başlatma,Transaction ID: 126,Success
2025-12-21 04:46:00,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:46:00,CSMS,Şarj Başlatma,Transaction ID: 112,Success
2025-12-21 04:46:07,CSMS,Şarj Başlatma,Transaction ID: 127,Success
2025-12-21 04:46:07,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:46:07,CSMS,Şarj Başlatma,Transaction ID: 113,Success
2025-12-21 04:46:14,CSMS,Şarj Başlatma,Transaction ID: 128,Success
2025-12-21 04:46:14,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:46:14,CSMS,Şarj Başlatma,Transaction ID: 114,Success
2025-12-21 04:46:21,CSMS,Şarj Başlatma,Transaction ID: 129,Success
2025-12-21 04:46:21,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:46:22,CSMS,Şarj Başlatma,Transaction ID: 115,Success
2025-12-21 04:46:28,CSMS,Şarj Başlatma,Transaction ID: 130,Success
2025-12-21 04:46:28,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:46:29,CSMS,Şarj Başlatma,Transaction ID: 116,Success
2025-12-21 04:46:35,CSMS,Şarj Başlatma,Transaction ID: 131,Success
2025-12-21 04:46:35,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:46:36,CSMS,Şarj Başlatma,Transaction ID: 117,Success
2025-12-21 04:46:42,CSMS,Şarj Başlatma,Transaction ID: 132,Success
2025-12-21 04:46:42,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:46:43,CSMS,Şarj Başlatma,Transaction ID: 118,Success
2025-12-21 04:46:49,CSMS,Şarj Başlatma,Transaction ID: 133,Success
2025-12-21 04:46:49,CSMS,Enerji Tüketimi,2025 Wh,Info
2025-12-21 04:46:50,CSMS,Şarj Başlatma,Transaction ID: 119,Success
2025-12-21 04:46:56,CSMS,Şarj Başlatma,Transaction ID: 134,Success
2025-12-21 04:46:56,CSMS,Enerji Tüketimi,2025 Wh,Info
